evidence_id,gate_id,requirement_id,artifact_path,artifact_version,commit_sha,command,exit_code,executed_at,executed_by,result_summary,log_path,status
EV-G1-001,G1,GOV-001,docs/evidence/2026-08-16_main_protection_test.md,1.0.0,eb01b2c9236b6f7ce8abc457e71d880aae153dae,gh api repos/guillermocarvajalvaca-dev/project-amarketboundingboxes/branches/main/protection,0,2026-08-16,guillermocarvajalvaca-dev,Proteccion de main observada por API: enforce_admins=true; 1 aprobacion requerida; dismiss_stale_reviews=true; require_code_owner_reviews=true; required_conversation_resolution=true; force-push y borrado deshabilitados; sin checks requeridos. Prueba activa en PR #8: mergeStateStatus=BLOCKED; mergeable_state=blocked; reviewDecision=REVIEW_REQUIRED; revision solicitada a mbarbacardozo. Merge impedido pese a autoria del administrador. Checklist puntos 9 y 10 cerrados.,docs/evidence/2026-08-16_main_protection_test.md,PASS

EV-G3-001,G3,G3_CLOSURE,data/manifests/splits.csv; configs/dataset.yaml; docs/evidence/SPL-001_STATUS.md,MERGED,7ed6e2cf9898a1814be34b60d527b2779692ca83,gh pr view 23; gh issue view 4,0,2026-08-21,guillermocarvajalvaca-dev,Closure verification: PR #23 merged; AMARKET=655; train=459; val=98; test=98; leakage sku/source_asset/duplicate_group=0; deterministic double run PASS; Guillermo SPL review APPROVED; Pablo CFG review APPROVED; G2 CLOSED/COMPLETED.,docs/evidence/SPL-001_STATUS.md; PR #23; Issue #14,PASS

EV-G4-001,G4,G4_AMARKET_TRAINING,"docs/evidence/G4_STATUS.md; outputs/runs/g4_amarket_only_20260821_100653/weights/best.pt (local, gitignored)",sha256:9149dfef3093ca12a80fbb85b860822ae52d6ca5d8e2f1a6224211f92acd6712,19fff77f1cca9012bafa886e5195d5ebc2230cfa,python src/train.py --config configs/baseline.yaml --data configs/dataset.yaml --output-dir outputs/runs/g4_smoke_amarket_20260821_100653 --seed 42 --smoke; python src/train.py --config configs/baseline.yaml --data configs/dataset.yaml --output-dir outputs/runs/g4_amarket_only_20260821_100653 --seed 42,0,2026-08-21,pablolinares1801,"Autorizado por comentarios del coordinador en issue #6 (2026-08-21T13:20:33Z, correccion 13:40:13Z): O-003 APPROVED (yolo11n.pt, Python 3.11.9, Ultralytics 8.4.120, Torch 2.13.0), O-004 APPROVED (Apple M5, 24GB RAM, CPU-only, epochs=40, imgsz=416, batch=8), LD-006 levantada exclusivamente para G4. Smoke PASS previo al entrenamiento final. Final: 40/40 epochs, 0.318h, val P=0.999 R=0.99 mAP50=0.995 mAP50-95=0.986. Dataset 655/459/98/98, 0 missing, 0 invalid class. Test bloqueado, no consultado. Pesos no versionados (outputs/*, *.pt en .gitignore); verificables por SHA-256.",docs/evidence/G4_STATUS.md,PASS

EV-G4-002,G4,G4_RPC_TRAINING,"docs/evidence/G4_RPC_STATUS.md; outputs/runs/g4_amarket_rpc_20260821_110741/weights/best.pt (local, gitignored)",sha256:bba3ceca6366c376a39745ddc166cbc5cc9fa67f25fe4f6c719f64499ac10988,19fff77f1cca9012bafa886e5195d5ebc2230cfa,python src/train.py --config configs/baseline.yaml --data outputs/runs/g4_amarket_rpc_20260821_110741_dataset.yaml --output-dir outputs/runs/g4_rpc_smoke_20260821_110741 --seed 42 --smoke; python src/train.py --config configs/baseline.yaml --data outputs/runs/g4_amarket_rpc_20260821_110741_dataset.yaml --output-dir outputs/runs/g4_amarket_rpc_20260821_110741 --seed 42,0,2026-08-21,pablolinares1801,"Experimento B, autorizado por comentario del coordinador en issue #6 (2026-08-21T14:39:05Z, freeze Experimento A + autorizacion Experimento B). Train combinado AMARKET+RPC (804 = 459 AMARKET + 345 RPC), val AMARKET-only (98), test no consultado. YAML de dataset local no versionado, configs/dataset.yaml sin modificar. Smoke PASS previo al entrenamiento final. Final: 40/40 epochs, 0.504h, val P=0.999 R=0.99 mAP50=0.994 mAP50-95=0.982. Comparacion vs Experimento A (EV-G4-001, mAP50=0.995 mAP50-95=0.986): RPC no mejora sobre val AMARKET-only. Pesos no versionados (outputs/*, *.pt en .gitignore); verificables por SHA-256. Post-execution governance review identified an unresolved contradiction between the FROZEN governance README restriction on RPC and the SDD wording on RPC as central dataset. Experiment B is therefore preserved as executed technical evidence but excluded from governing G4 closure. G4 selection remains Experiment A.",docs/evidence/G4_RPC_STATUS.md,EXECUTED

EV-G5-001,G5,G5_TEST_EVALUATION,"docs/evidence/G5_STATUS.md; outputs/evaluation/g5_amarket_test_A_run1_20260821_124539/ (local, gitignored); outputs/evaluation/g5_amarket_test_A_run2_20260821_124539/ (local, gitignored)",sha256:9149dfef3093ca12a80fbb85b860822ae52d6ca5d8e2f1a6224211f92acd6712,0c705c9c2b23aa1d1b666894c3f6ae3c710f2dca,python src/evaluate.py --model outputs/runs/g4_amarket_only_20260821_100653/weights/best.pt --data configs/dataset.yaml --split test --output-dir outputs/evaluation/g5_amarket_test_A_run1_20260821_124539 --conf 0.25 --iou-umbral 0.5 --device cpu --allow-test; python src/evaluate.py --model outputs/runs/g4_amarket_only_20260821_100653/weights/best.pt --data configs/dataset.yaml --split test --output-dir outputs/evaluation/g5_amarket_test_A_run2_20260821_124539 --conf 0.25 --iou-umbral 0.5 --device cpu --allow-test,0,2026-08-21,pablolinares1801,"Primera y unica consulta de test en el proyecto, solicitada directamente por el coordinador (script con guardas STOP= sobre main esperado y SHA-256 del peso gobernante). Peso evaluado: Experimento A (EV-G4-001, AMARKET-only), verificado por SHA-256 antes de tocar test. Dos corridas identicas: test=98 imagenes/98 ground truths, P=1.0 R=1.0 F1=1.0 mAP50=0.995 mAP50-95=0.9929 en ambas, weight_manifest SHA-256 identico en ambas -> reproducibilidad contractual confirmada. Analisis de error: 15 ejemplos muestreados, 15 correcto, 0 omision, 0 falso_positivo. Brecha frente a rubrica (10-15 aciertos y 10-15 errores, G5/G6): no hay errores naturales que muestrear con P=R=1.0; se documenta como GAP honesto, no se fuerzan errores. NO_FURTHER_TUNING=TRUE. Coordinador resuelve cerrar G5 como PASS sin fabricar errores ni alterar umbrales post-test; la brecha de rubrica de 10-15 incorrectos permanece explicitamente documentada. Los 15 casos correctos mas dificiles se conservan como analisis complementario.",docs/evidence/G5_STATUS.md,PASS
EV-INT-001,G6,INT-001,README.md; notebooks/inferencia_cpu.ipynb; src/common/reproducibility.py; src/predict.py; tests/test_reproducibility.py,COMMITTED,66f9d5ba561d7f1ee37f9f435d2dbb7e7415d8b9,python -m pytest tests/test_reproducibility.py -q; python -m pytest -q; python src/predict.py --device cpu --limit 5; notebook CPU logical Run All,0,2026-08-21,guillermocarvajalvaca-dev,INT-001 technical integration PASS: reproducibility tests PASS; full pytest regression PASS; governing model SHA-256 verified; CPU inference PASS over 5 deterministic AMARKET test images; notebook uses explicit map_location=cpu and device=cpu; README updated with reproducible commands and no personal absolute paths; AMARKET images and .pt weight remain outside Git.,Issue #7; commit 66f9d5ba561d7f1ee37f9f435d2dbb7e7415d8b9,PASS
